structure_id,conf_symbol,mixing_energy_pa,Ti,Al,Nb
ICET-Training-No-32159,Al2Nb2Ti3,-0.3062094428571425,0.4286,0.2857,0.2857
ICET-Training-No-32187,Al3Nb2Ti2,-0.3064996899999995,0.2857,0.4286,0.2857
ICET-Training-No-32190,Al3Nb2Ti2,-0.3374330842857144,0.2857,0.4286,0.2857
ICET-Training-No-32191,Al2Nb3Ti2,-0.26274138285714344,0.2857,0.2857,0.4286
ICET-Training-No-32235,Al2Nb2Ti3,-0.28729816857142815,0.4286,0.2857,0.2857
ICET-Training-No-32252,Al2Nb3Ti2,-0.2675729185714287,0.2857,0.2857,0.4286
ICET-Training-No-32747,Al3Nb2Ti2,-0.3113746542857143,0.2857,0.4286,0.2857
ICET-Training-No-32748,Al2Nb3Ti2,-0.2633348185714287,0.2857,0.2857,0.4286
ICET-Training-No-32815,Al2Nb3Ti2,-0.24712779142857194,0.2857,0.2857,0.4286
ICET-Training-No-32839,Al3Nb3Ti,-0.23699647571428528,0.1429,0.4286,0.4286
ICET-Training-No-32842,Al3Nb3Ti,-0.2783023171428575,0.1429,0.4286,0.4286
ICET-Training-No-32843,Al2Nb4Ti,-0.20231365571428586,0.1429,0.2857,0.5714
ICET-Training-No-32903,Al2Nb3Ti2,-0.25211755000000025,0.2857,0.2857,0.4286
ICET-Training-No-32927,AlNb5Ti,-0.146694218571429,0.1429,0.1429,0.7143
ICET-Training-No-33988,Al2Nb4Ti,-0.16350725142857161,0.1429,0.2857,0.5714
ICET-Training-No-33999,Al2Nb4Ti,-0.18759745000000042,0.1429,0.2857,0.5714
ICET-Training-No-35579,Al3Nb4,-0.1573276385714288,0.0,0.4286,0.5714
ICET-Training-No-35867,Al3Nb4,-0.20692272285714353,0.0,0.4286,0.5714
ICET-Training-No-36759,Al2Ti5,-0.2734730471428577,0.7143,0.2857,0.0
ICET-Training-No-36769,Al2Ti5,-0.26282695142857193,0.7143,0.2857,0.0
ICET-Training-No-36823,Al3Ti4,-0.3564044328571429,0.5714,0.4286,0.0
ICET-Training-No-37039,Al3Ti4,-0.365207791428571,0.5714,0.4286,0.0
ICET-Training-No-37043,Al4Ti3,-0.3786727957142852,0.4286,0.5714,0.0
ICET-Training-No-37047,Al3NbTi3,-0.4104122614285716,0.4286,0.4286,0.1429
ICET-Training-No-37063,Al3NbTi3,-0.39799059000000014,0.4286,0.4286,0.1429
ICET-Training-No-37122,Al4Ti3,-0.40148443999999933,0.4286,0.5714,0.0
ICET-Training-No-37126,Al3NbTi3,-0.4028726128571429,0.4286,0.4286,0.1429
ICET-Training-No-37164,Al3Nb2Ti2,-0.3449694714285708,0.2857,0.4286,0.2857
ICET-Training-No-37220,Al2Nb2Ti3,-0.29302470999999947,0.4286,0.2857,0.2857
ICET-Training-No-37238,Al3Nb2Ti2,-0.36359251428571426,0.2857,0.4286,0.2857
ICET-Training-No-37253,Al2Nb3Ti2,-0.23739057000000027,0.2857,0.2857,0.4286
ICET-Training-No-37256,Al2Nb3Ti2,-0.25086135571428614,0.2857,0.2857,0.4286
ICET-Training-No-38045,Al4Ti3,-0.3914753614285707,0.4286,0.5714,0.0
ICET-Training-No-38046,Al3NbTi3,-0.40918371000000064,0.4286,0.4286,0.1429
ICET-Training-No-38058,Al5Ti2,-0.40425479000000003,0.2857,0.7143,0.0
ICET-Training-No-38062,Al4NbTi2,-0.3911720057142856,0.2857,0.5714,0.1429
ICET-Training-No-38077,Al3Nb2Ti2,-0.36658364285714284,0.2857,0.4286,0.2857
ICET-Training-No-38080,Al3Nb2Ti2,-0.3677466099999996,0.2857,0.4286,0.2857
ICET-Training-No-38139,Al3Nb2Ti2,-0.3547462099999998,0.2857,0.4286,0.2857
ICET-Training-No-38142,Al2Nb3Ti2,-0.2461607128571432,0.2857,0.2857,0.4286
ICET-Training-No-38239,Al5Ti2,-0.3504938914285723,0.2857,0.7143,0.0
ICET-Training-No-38240,Al4NbTi2,-0.38253593142857156,0.2857,0.5714,0.1429
ICET-Training-No-38243,Al4NbTi2,-0.4072184099999997,0.2857,0.5714,0.1429
ICET-Training-No-38258,Al3Nb2Ti2,-0.368506842857142,0.2857,0.4286,0.2857
ICET-Training-No-38261,Al2Nb3Ti2,-0.2642456385714291,0.2857,0.2857,0.4286
ICET-Training-No-38285,Al4NbTi2,-0.40654838857142905,0.2857,0.5714,0.1429
ICET-Training-No-38301,Al5NbTi,-0.3658773814285711,0.1429,0.7143,0.1429
ICET-Training-No-38317,Al4Nb2Ti,-0.3732051071428576,0.1429,0.5714,0.2857
ICET-Training-No-38321,Al3Nb3Ti,-0.27853540428571427,0.1429,0.4286,0.4286
ICET-Training-No-38370,Al3Nb2Ti2,-0.36204811999999925,0.2857,0.4286,0.2857
ICET-Training-No-38373,Al3Nb2Ti2,-0.330594448571428,0.2857,0.4286,0.2857
ICET-Training-No-38374,Al2Nb3Ti2,-0.2552402142857143,0.2857,0.2857,0.4286
ICET-Training-No-38391,Al4Nb2Ti,-0.36495642285714375,0.1429,0.5714,0.2857
ICET-Training-No-38392,Al3Nb3Ti,-0.30517218857142886,0.1429,0.4286,0.4286
ICET-Training-No-38407,Al3Nb3Ti,-0.3089727128571432,0.1429,0.4286,0.4286
ICET-Training-No-38410,Al3Nb3Ti,-0.298201972857143,0.1429,0.4286,0.4286
ICET-Training-No-38411,Al2Nb4Ti,-0.22828170000000064,0.1429,0.2857,0.5714
ICET-Training-No-38637,Al3Nb2Ti2,-0.376709248571428,0.2857,0.4286,0.2857
ICET-Training-No-38638,Al2Nb3Ti2,-0.24633276714285707,0.2857,0.2857,0.4286
ICET-Training-No-38652,Al2Nb3Ti2,-0.24408826000000008,0.2857,0.2857,0.4286
ICET-Training-No-38711,Al4Nb2Ti,-0.3915545971428571,0.1429,0.5714,0.2857
ICET-Training-No-38714,Al4Nb2Ti,-0.3629402514285717,0.1429,0.5714,0.2857
ICET-Training-No-38715,Al3Nb3Ti,-0.28576018714285667,0.1429,0.4286,0.4286
ICET-Training-No-38729,Al3Nb3Ti,-0.3256872914285712,0.1429,0.4286,0.4286
ICET-Training-No-38732,Al3Nb3Ti,-0.33930690714285766,0.1429,0.4286,0.4286
ICET-Training-No-38793,Al2Nb3Ti2,-0.23633209000000072,0.2857,0.2857,0.4286
ICET-Training-No-38796,Al3Nb3Ti,-0.29758761571428594,0.1429,0.4286,0.4286
ICET-Training-No-38799,Al2Nb4Ti,-0.20376296857142912,0.1429,0.2857,0.5714
ICET-Training-No-38813,Al2Nb4Ti,-0.20273657000000103,0.1429,0.2857,0.5714
ICET-Training-No-39830,Al3Nb3Ti,-0.2969057185714285,0.1429,0.4286,0.4286
ICET-Training-No-39833,Al2Nb4Ti,-0.22810700142857193,0.1429,0.2857,0.5714
ICET-Training-No-39889,Al2Nb4Ti,-0.20270354857142894,0.1429,0.2857,0.5714
ICET-Training-No-40076,Al2Nb4Ti,-0.19907727857142885,0.1429,0.2857,0.5714
ICET-Training-No-41349,Al6Nb,-0.27876792000000095,0.0,0.8571,0.1429
ICET-Training-No-41382,Al5Nb2,-0.26485970285714344,0.0,0.7143,0.2857
ICET-Training-No-41385,Al4Nb3,-0.35547668714285713,0.0,0.5714,0.4286
ICET-Training-No-41396,Al3Nb4,-0.24620285714285778,0.0,0.4286,0.5714
ICET-Training-No-41460,Al4Nb3,-0.30997011285714293,0.0,0.5714,0.4286
ICET-Training-No-41469,Al3Nb4,-0.26237821142857193,0.0,0.4286,0.5714
ICET-Training-No-41504,Al3Nb4,-0.25168483,0.0,0.4286,0.5714
ICET-Training-No-42663,Al3Ti4,-0.37350260857142814,0.5714,0.4286,0.0
ICET-Training-No-42709,Al2Ti5,-0.25697561428571447,0.7143,0.2857,0.0
ICET-Training-No-42713,Al3Ti4,-0.373667902857143,0.5714,0.4286,0.0
ICET-Training-No-42732,Al4Ti3,-0.3603673928571425,0.4286,0.5714,0.0
ICET-Training-No-42733,Al3NbTi3,-0.3200428757142859,0.4286,0.4286,0.1429
ICET-Training-No-42933,Al4Ti3,-0.4564354928571421,0.4286,0.5714,0.0
ICET-Training-No-42953,Al3NbTi3,-0.34413163714285744,0.4286,0.4286,0.1429
ICET-Training-No-43009,Al2NbTi4,-0.28567602285714294,0.5714,0.2857,0.1429
ICET-Training-No-43013,Al3NbTi3,-0.3634544714285722,0.4286,0.4286,0.1429
ICET-Training-No-43016,Al3NbTi3,-0.3527699242857147,0.4286,0.4286,0.1429
ICET-Training-No-43028,Al3NbTi3,-0.3129072300000004,0.4286,0.4286,0.1429
ICET-Training-No-43031,Al5Ti2,-0.32148116000000065,0.2857,0.7143,0.0
ICET-Training-No-43032,Al4NbTi2,-0.3151301100000004,0.2857,0.5714,0.1429
ICET-Training-No-43036,Al3Nb2Ti2,-0.29960921714285654,0.2857,0.4286,0.2857
ICET-Training-No-43050,Al4NbTi2,-0.42394439857142885,0.2857,0.5714,0.1429
ICET-Training-No-43054,Al3Nb2Ti2,-0.3036963157142856,0.2857,0.4286,0.2857
ICET-Training-No-43055,Al2Nb3Ti2,-0.22837022285714323,0.2857,0.2857,0.4286
ICET-Training-No-43439,Al3Nb2Ti2,-0.3021941685714284,0.2857,0.4286,0.2857
ICET-Training-No-43935,Al4Ti3,-0.420226315714285,0.4286,0.5714,0.0
ICET-Training-No-43948,Al5Ti2,-0.40377704000000036,0.2857,0.7143,0.0
ICET-Training-No-44029,Al3Nb2Ti2,-0.3547265642857137,0.2857,0.4286,0.2857
ICET-Training-No-44130,Al4NbTi2,-0.38261540571428604,0.2857,0.5714,0.1429
ICET-Training-No-44148,Al3Nb2Ti2,-0.3121549557142852,0.2857,0.4286,0.2857
ICET-Training-No-44151,Al2Nb3Ti2,-0.2390871057142862,0.2857,0.2857,0.4286
ICET-Training-No-44184,Al4NbTi2,-0.31698113714285675,0.2857,0.5714,0.1429
ICET-Training-No-44187,Al6Ti,-0.29045703142857143,0.1429,0.8571,0.0
ICET-Training-No-44192,Al4Nb2Ti,-0.2840933585714294,0.1429,0.5714,0.2857
ICET-Training-No-44206,Al5NbTi,-0.39648212428571433,0.1429,0.7143,0.1429
ICET-Training-No-44211,Al3Nb3Ti,-0.26863513142857137,0.1429,0.4286,0.4286
ICET-Training-No-44260,Al3Nb2Ti2,-0.36202962714285697,0.2857,0.4286,0.2857
ICET-Training-No-44278,Al4Nb2Ti,-0.38275832000000065,0.1429,0.5714,0.2857
ICET-Training-No-44282,Al3Nb3Ti,-0.3049937042857138,0.1429,0.4286,0.4286
ICET-Training-No-44296,Al4Nb2Ti,-0.3243583100000009,0.1429,0.5714,0.2857
ICET-Training-No-44297,Al3Nb3Ti,-0.26029703285714284,0.1429,0.4286,0.4286
ICET-Training-No-44301,Al2Nb4Ti,-0.19941445000000105,0.1429,0.2857,0.5714
ICET-Training-No-44605,Al3Nb3Ti,-0.2858926714285711,0.1429,0.4286,0.4286
ICET-Training-No-44619,Al3Nb3Ti,-0.32582874285714275,0.1429,0.4286,0.4286
ICET-Training-No-44686,Al3Nb3Ti,-0.29744503428571434,0.1429,0.4286,0.4286
ICET-Training-No-44703,Al2Nb4Ti,-0.16962856428571524,0.1429,0.2857,0.5714
ICET-Training-No-45706,Al4Nb2Ti,-0.2828356714285718,0.1429,0.5714,0.2857
ICET-Training-No-45709,Al3Nb3Ti,-0.2783625771428575,0.1429,0.4286,0.4286
ICET-Training-No-45720,Al3Nb3Ti,-0.29674072857142875,0.1429,0.4286,0.4286
ICET-Training-No-45723,Al2Nb4Ti,-0.18458353571428582,0.1429,0.2857,0.5714
ICET-Training-No-45779,Al2Nb4Ti,-0.18021414571428604,0.1429,0.2857,0.5714
ICET-Training-No-45966,Al2Nb4Ti,-0.16838238714285783,0.1429,0.2857,0.5714
ICET-Training-No-47239,Al6Nb,-0.17418329714285768,0.0,0.8571,0.1429
ICET-Training-No-47251,Al4Nb3,-0.249988765714286,0.0,0.5714,0.4286
ICET-Training-No-47272,Al5Nb2,-0.3681200185714287,0.0,0.7143,0.2857
ICET-Training-No-47275,Al4Nb3,-0.25229698714285675,0.0,0.5714,0.4286
ICET-Training-No-47286,Al3Nb4,-0.24619732285714338,0.0,0.4286,0.5714
ICET-Training-No-47359,Al3Nb4,-0.19078593000000005,0.0,0.4286,0.5714
ICET-Training-No-47647,Al3Nb4,-0.2909329757142863,0.0,0.4286,0.5714
ICET-Training-No-47655,Al2Nb5,-0.13792392428571532,0.0,0.2857,0.7143
ICET-Training-No-48553,Al3Ti4,-0.26677176857142876,0.5714,0.4286,0.0
ICET-Training-No-48557,Al2NbTi4,-0.2587722114285721,0.5714,0.2857,0.1429
ICET-Training-No-48599,Al2Ti5,-0.2494663957142862,0.7143,0.2857,0.0
ICET-Training-No-48603,Al3Ti4,-0.30462171285714235,0.5714,0.4286,0.0
ICET-Training-No-48604,Al2NbTi4,-0.2628237285714294,0.5714,0.2857,0.1429
ICET-Training-No-48626,Al3NbTi3,-0.2540906742857142,0.4286,0.4286,0.1429
ICET-Training-No-48641,Al2Nb2Ti3,-0.22101887142857127,0.4286,0.2857,0.2857
ICET-Training-No-48644,Al2Nb2Ti3,-0.2052106914285718,0.4286,0.2857,0.2857
ICET-Training-No-48706,Al2Nb2Ti3,-0.1595227885714284,0.4286,0.2857,0.2857
ICET-Training-No-48809,Al3Ti4,-0.22972526142857166,0.5714,0.4286,0.0
ICET-Training-No-48820,Al2NbTi4,-0.3044856100000004,0.5714,0.2857,0.1429
ICET-Training-No-48823,Al4Ti3,-0.2834089585714281,0.4286,0.5714,0.0
ICET-Training-No-48827,Al3NbTi3,-0.3456217142857148,0.4286,0.4286,0.1429
ICET-Training-No-48828,Al2Nb2Ti3,-0.25971242999999944,0.4286,0.2857,0.2857
ICET-Training-No-48899,Al2NbTi4,-0.17753703428571502,0.5714,0.2857,0.1429
ICET-Training-No-48902,Al4Ti3,-0.2484804985714279,0.4286,0.5714,0.0
ICET-Training-No-48918,Al3NbTi3,-0.27031842285714347,0.4286,0.4286,0.1429
ICET-Training-No-48925,Al4NbTi2,-0.22286675428571406,0.2857,0.5714,0.1429
ICET-Training-No-48940,Al4NbTi2,-0.17735138000000056,0.2857,0.5714,0.1429
ICET-Training-No-48997,Al2Nb2Ti3,-0.1927640199999995,0.4286,0.2857,0.2857
ICET-Training-No-49000,Al2Nb2Ti3,-0.1753054985714288,0.4286,0.2857,0.2857
ICET-Training-No-49012,Al2Nb2Ti3,-0.256723875714286,0.4286,0.2857,0.2857
ICET-Training-No-49015,Al3Nb2Ti2,-0.2222534757142855,0.2857,0.4286,0.2857
ICET-Training-No-49018,Al3Nb2Ti2,-0.2891588857142854,0.2857,0.4286,0.2857
ICET-Training-No-49019,Al2Nb3Ti2,-0.21931696285714355,0.2857,0.2857,0.4286
ICET-Training-No-49343,Al2Nb3Ti2,-0.19236628714285736,0.2857,0.2857,0.4286
ICET-Training-No-49825,Al4Ti3,-0.374887012857143,0.4286,0.5714,0.0
ICET-Training-No-49826,Al3NbTi3,-0.37272348142857126,0.4286,0.4286,0.1429
ICET-Training-No-49829,Al2Nb2Ti3,-0.30051516714285703,0.4286,0.2857,0.2857
ICET-Training-No-49835,Al3NbTi3,-0.3258356914285717,0.4286,0.4286,0.1429
ICET-Training-No-49839,Al4NbTi2,-0.27110425285714257,0.2857,0.5714,0.1429
ICET-Training-No-49842,Al4NbTi2,-0.3088905828571425,0.2857,0.5714,0.1429
ICET-Training-No-49843,Al3Nb2Ti2,-0.29833461571428493,0.2857,0.4286,0.2857
ICET-Training-No-49854,Al2Nb2Ti3,-0.2486977885714288,0.4286,0.2857,0.2857
ICET-Training-No-49857,Al3Nb2Ti2,-0.307371321428571,0.2857,0.4286,0.2857
ICET-Training-No-49861,Al2Nb3Ti2,-0.24761102857142905,0.2857,0.2857,0.4286
ICET-Training-No-49919,Al3Nb2Ti2,-0.2217853314285715,0.2857,0.4286,0.2857
ICET-Training-No-49922,Al2Nb3Ti2,-0.21644919285714284,0.2857,0.2857,0.4286
ICET-Training-No-50019,Al5Ti2,-0.2045836271428578,0.2857,0.7143,0.0
ICET-Training-No-50020,Al4NbTi2,-0.20773106428571403,0.2857,0.5714,0.1429
ICET-Training-No-50023,Al4NbTi2,-0.31298139142857195,0.2857,0.5714,0.1429
ICET-Training-No-50038,Al3Nb2Ti2,-0.17288541285714235,0.2857,0.4286,0.2857
ICET-Training-No-50068,Al3Nb2Ti2,-0.24375263571428515,0.2857,0.4286,0.2857
ICET-Training-No-50074,Al4NbTi2,-0.3036753471428568,0.2857,0.5714,0.1429
ICET-Training-No-50077,Al6Ti,-0.1357522728571432,0.1429,0.8571,0.0
ICET-Training-No-50096,Al5NbTi,-0.13933176571428568,0.1429,0.7143,0.1429
ICET-Training-No-50097,Al4Nb2Ti,-0.19756879714285805,0.1429,0.5714,0.2857
ICET-Training-No-50101,Al3Nb3Ti,-0.19806638142857175,0.1429,0.4286,0.4286
ICET-Training-No-50150,Al3Nb2Ti2,-0.20080851428571428,0.2857,0.4286,0.2857
ICET-Training-No-50153,Al3Nb2Ti2,-0.22845429142857146,0.2857,0.4286,0.2857
ICET-Training-No-50165,Al3Nb2Ti2,-0.26830273,0.2857,0.4286,0.2857
ICET-Training-No-50168,Al4Nb2Ti,-0.14890381142857173,0.1429,0.5714,0.2857
ICET-Training-No-50171,Al4Nb2Ti,-0.25286213857142925,0.1429,0.5714,0.2857
ICET-Training-No-50172,Al3Nb3Ti,-0.23433735285714313,0.1429,0.4286,0.4286
ICET-Training-No-50186,Al4Nb2Ti,-0.18903747142857188,0.1429,0.5714,0.2857
ICET-Training-No-50190,Al3Nb3Ti,-0.24488564571428587,0.1429,0.4286,0.4286
ICET-Training-No-50417,Al3Nb2Ti2,-0.3113263385714283,0.2857,0.4286,0.2857
ICET-Training-No-50432,Al2Nb3Ti2,-0.13867657857142848,0.2857,0.2857,0.4286
ICET-Training-No-50435,Al2Nb3Ti2,-0.22252023000000065,0.2857,0.2857,0.4286
ICET-Training-No-50485,Al2Nb3Ti2,-0.2539225328571431,0.2857,0.2857,0.4286
ICET-Training-No-50491,Al4Nb2Ti,-0.20702981142857219,0.1429,0.5714,0.2857
ICET-Training-No-50495,Al3Nb3Ti,-0.24138748285714332,0.1429,0.4286,0.4286
ICET-Training-No-50506,Al2Nb3Ti2,-0.21532600000000052,0.2857,0.2857,0.4286
ICET-Training-No-50509,Al3Nb3Ti,-0.25366600285714264,0.1429,0.4286,0.4286
ICET-Training-No-50512,Al3Nb3Ti,-0.2745779328571426,0.1429,0.4286,0.4286
ICET-Training-No-50513,Al2Nb4Ti,-0.2076548714285725,0.1429,0.2857,0.5714
ICET-Training-No-50573,Al2Nb3Ti2,-0.23106004428571428,0.2857,0.2857,0.4286
ICET-Training-No-50579,Al2Nb4Ti,-0.18137898428571475,0.1429,0.2857,0.5714
ICET-Training-No-50597,AlNb5Ti,-0.11979598857142852,0.1429,0.1429,0.7143
ICET-Training-No-51610,Al3Nb3Ti,-0.17283617571428575,0.1429,0.4286,0.4286
ICET-Training-No-51658,Al2Nb4Ti,-0.1852035771428575,0.1429,0.2857,0.5714
ICET-Training-No-51669,Al2Nb4Ti,-0.1114797285714287,0.1429,0.2857,0.5714
ICET-Training-No-53162,Al5Nb2,-0.06683205428571475,0.0,0.7143,0.2857
ICET-Training-No-53165,Al4Nb3,-0.1869633271428565,0.0,0.5714,0.4286
ICET-Training-No-53176,Al3Nb4,-0.1714221257142857,0.0,0.4286,0.5714
ICET-Training-No-53240,Al4Nb3,-0.12466440571428551,0.0,0.5714,0.4286
ICET-Training-No-53249,Al3Nb4,-0.19116348285714327,0.0,0.4286,0.5714
ICET-Training-No-53284,Al3Nb4,-0.14311351857142846,0.0,0.4286,0.5714
ICET-Training-No-53606,Al2Nb5,-0.12279493571428698,0.0,0.2857,0.7143
ICET-Training-No-0076857,Al2Nb6,-0.14590530125,0.0,0.25,0.75
ICET-Training-No-0077177,AlNb7,-0.06276595000000107,0.0,0.125,0.875
ICET-Training-No-0079764,Al2Ti6,-0.2901561512499997,0.75,0.25,0.0
ICET-Training-No-0101015,Al5Nb3,-0.3124179775000009,0.0,0.625,0.375
ICET-Training-No-0101018,Al4Nb4,-0.2607196175000004,0.0,0.5,0.5
ICET-Training-No-0101050,Al4Nb4,-0.28361925624999973,0.0,0.5,0.5
ICET-Training-No-0102452,AlNb7,-0.06030420125000013,0.0,0.125,0.875
ICET-Training-No-0116890,Al2Nb6,-0.15344035374999976,0.0,0.25,0.75
ICET-Training-No-0118925,AlTi7,-0.1460029649999992,0.875,0.125,0.0
ICET-Training-No-0118939,Al2Ti6,-0.24488188750000006,0.75,0.25,0.0
ICET-Training-No-0132875,AlTi7,-0.16717834624999917,0.875,0.125,0.0
ICET-Training-No-0132939,Al2Ti6,-0.2908750037500001,0.75,0.25,0.0
ICET-Training-No-0190073,Al3Nb4Ti,-0.2949096875000006,0.125,0.375,0.5
ICET-Training-No-0195940,Al3Nb5,-0.23065490500000063,0.0,0.375,0.625
ICET-Training-No-0197375,AlTi7,-0.20841236374999905,0.875,0.125,0.0
ICET-Training-No-0207135,Al2Nb5Ti,-0.18157743625000222,0.125,0.25,0.625
ICET-Training-No-0220127,AlNb7,-0.08898114625000098,0.0,0.125,0.875
ICET-Training-No-0222654,Al2Ti6,-0.2698617362500002,0.75,0.25,0.0
ICET-Training-No-0247939,Al2Ti6,-0.2996555862500001,0.75,0.25,0.0
ICET-Training-No-0268137,Al3Nb2Ti3,-0.35406863499999996,0.375,0.375,0.25
ICET-Training-No-0268510,Al2Nb4Ti2,-0.21595551999999962,0.25,0.25,0.5
ICET-Training-No-0271220,Al3Nb3Ti2,-0.2844838337499995,0.25,0.375,0.375
ICET-Training-No-0271244,Al3Nb4Ti,-0.2398203324999999,0.125,0.375,0.5
ICET-Training-No-0277424,Al2Nb5Ti,-0.20616161500000096,0.125,0.25,0.625
ICET-Training-No-0284275,Al3Nb5,-0.16864207625000027,0.0,0.375,0.625
ICET-Training-No-0284307,Al2Nb6,-0.14886271624999914,0.0,0.25,0.75
ICET-Training-No-0284627,AlNb7,-0.07299333375000039,0.0,0.125,0.875
ICET-Training-No-0287164,Al2Ti6,-0.32548977999999984,0.75,0.25,0.0
ICET-Training-No-0293730,Al3Nb3Ti2,-0.2739568862499997,0.25,0.375,0.375
ICET-Training-No-0317197,Al3Nb3Ti2,-0.3466001350000001,0.25,0.375,0.375
ICET-Training-No-0317198,Al2Nb4Ti2,-0.2429010224999999,0.25,0.25,0.5
ICET-Training-No-0319012,Al2Nb4Ti2,-0.25464535000000055,0.25,0.25,0.5
ICET-Training-No-0319073,Al3Nb4Ti,-0.2977795312500007,0.125,0.375,0.5
ICET-Training-No-0324940,Al3Nb5,-0.13737411750000028,0.0,0.375,0.625
ICET-Training-No-0326375,AlTi7,-0.13044966624999965,0.875,0.125,0.0
ICET-Training-No-0341445,AlTi7,-0.20442386499999898,0.875,0.125,0.0
ICET-Training-No-0341553,Al2Ti6,-0.3243557512499997,0.75,0.25,0.0
ICET-Training-No-0351047,Al2Nb4Ti2,-0.26476907750000045,0.25,0.25,0.5
ICET-Training-No-0365076,Al2Nb6,-0.18107664375,0.0,0.25,0.75
ICET-Training-No-0375387,Al3Nb5,-0.2265616675000004,0.0,0.375,0.625
ICET-Training-No-0376364,Al2Ti6,-0.3384916437500003,0.75,0.25,0.0
ICET-Training-No-0382040,Al4Nb3Ti,-0.3259587862500002,0.125,0.5,0.375
ICET-Training-No-0382279,Al4Nb3Ti,-0.3357625275,0.125,0.5,0.375
ICET-Training-No-0389083,Al4Nb4,-0.29523418000000046,0.0,0.5,0.5
ICET-Training-No-0391644,Al3Nb2Ti3,-0.2884406749999995,0.375,0.375,0.25
ICET-Training-No-0392792,Al3Nb3Ti2,-0.24132403499999988,0.25,0.375,0.375
ICET-Training-No-0399842,Al3Nb4Ti,-0.18839448000000036,0.125,0.375,0.5
ICET-Training-No-0411729,Al2Nb4Ti2,-0.2153403100000002,0.25,0.25,0.5
ICET-Training-No-0422339,Al3Nb3Ti2,-0.18475884500000017,0.25,0.375,0.375
ICET-Training-No-0423859,Al3Nb4Ti,-0.11182105875000037,0.125,0.375,0.5
